	0
sizeof_hdr	348
data_type	b''
db_name	b''
extents	0
session_error	0
regular	b'r'
dim_info	57
dim	[ 3 80 80 41  1  1  1  1]
intent_p1	0.0
intent_p2	0.0
intent_p3	0.0
intent_code	0
datatype	4
bitpix	16
slice_start	0
pixdim	[-1.   3.   3.   3.3  0.   0.   0.   0. ]
vox_offset	0.0
scl_slope	nan
scl_inter	nan
slice_end	0
slice_code	0
xyzt_units	10
cal_max	0.0
cal_min	0.0
slice_duration	0.0
toffset	0.0
glmax	0
glmin	0
descrip	b'TE=0;Time=124629.050'
aux_file	b''
qform_code	1
sform_code	1
quatern_b	-0.010813308
quatern_c	0.93246144
quatern_d	0.36073267
qoffset_x	125.39877
qoffset_y	-57.756493
qoffset_z	-161.7293
srow_x	[-2.9976745e+00 -9.6106082e-02 -7.5503394e-02  1.2539877e+02]
srow_y	[-2.4889842e-02  2.2185302e+00 -2.2212098e+00 -5.7756493e+01]
srow_z	[-1.1544807e-01  2.0171485e+00  2.4393666e+00 -1.6172929e+02]
intent_name	b''
magic	b'n+1'
