	stimOnsetSec	stimDurSec	fixOnsetSec	fixDurSec	ImageID	tNumXcond
0	25.03	3.0	28.039	0.5	Old63	Enc01
1	28.54	3.0	31.549	0.5	False	CTL01
2	32.051	3.0	35.06	4.5	Old12	Enc02
3	39.557	3.0	42.566	2.0	Old58	Enc03
4	44.555	3.0	47.56399999999999	3.5	False	CTL02
5	51.058	3.0	54.067	1.5	False	CTL03
6	55.55399999999999	3.0	58.563	2.5	Old78	Enc04
7	61.05399999999999	3.0	64.063	1.0	Old71	Enc05
8	65.05	3.0	68.059	3.0	False	CTL04
9	71.051	3.0	74.06	4.0	Old45	Enc06
10	78.055	3.0	81.064	0.5	False	CTL05
11	81.566	3.0	84.575	2.5	Old64	Enc07
12	87.065	3.0	90.074	2.5	False	CTL06
13	92.565	3.0	95.574	3.5	False	CTL07
14	99.068	3.0	102.077	1.0	Old03	Enc08
15	103.08	3.0	106.089	2.0	Old69	Enc09
16	108.078	3.0	111.087	0.5	Old11	Enc10
17	111.589	3.0	114.598	4.5	Old38	Enc11
18	119.094	3.0	122.103	7.0	Old27	Enc12
19	129.091	3.0	132.1	0.5	Old43	Enc13
20	132.601	3.0	135.61	2.0	Old40	Enc14
21	137.6	3.0	140.609	1.0	Old46	Enc15
22	141.612	3.0	144.621	1.0	Old48	Enc16
23	145.624	3.0	148.633	3.5	Old04	Enc17
24	152.126	3.0	155.135	1.0	False	CTL08
25	156.122	3.0	159.131	2.0	Old36	Enc18
26	161.12	3.0	164.129	0.5	Old20	Enc19
27	164.63	3.0	167.639	3.5	Old15	Enc20
28	171.133	3.0	174.142	7.0	False	CTL09
29	181.13	3.0	184.139	2.5	Old51	Enc21
30	186.629	3.0	189.638	5.0	Old26	Enc22
31	194.637	3.0	197.646	1.0	Old08	Enc23
32	198.649	3.0	201.658	10.0	Old24	Enc24
33	211.654	3.0	214.663	1.5	Old73	Enc25
34	216.151	3.0	219.16	0.5	Old18	Enc26
35	219.662	3.0	222.671	2.5	Old70	Enc27
36	225.161	3.0	228.17	3.5	Old35	Enc28
37	231.664	3.0	234.673	1.0	False	CTL10
38	235.676	3.0	238.685	0.5	False	CTL11
39	239.187	3.0	242.196	1.5	False	CTL12
40	243.683	3.0	246.692	7.0	False	CTL13
41	253.68	3.0	256.689	7.0	Old66	Enc29
42	263.676	3.0	266.685	2.0	Old74	Enc30
43	268.675	3.0	271.684	6.5	False	CTL14
44	278.186	3.0	281.195	3.5	Old31	Enc31
45	284.689	3.0	287.698	2.5	Old13	Enc32
46	290.189	3.0	293.198	4.0	Old01	Enc33
47	297.193	3.0	300.202	3.5	Old61	Enc34
48	303.696	3.0	306.705	1.0	False	CTL15
49	307.708	3.0	310.717	6.5	Old02	Enc35
50	317.22	3.0	320.229	7.5	False	CTL16
51	327.718	3.0	330.727	2.5	False	CTL17
52	333.218	3.0	336.227	1.5	Old59	Enc36
53	337.714	3.0	340.723	1.0	Old22	Enc37
54	341.71	3.0	344.719	3.0	Old44	Enc38
55	347.711	3.0	350.72	2.5	False	CTL18
56	353.211	3.0	356.22	1.0	Old16	Enc39
57	357.223	3.0	360.232	9.0	Old19	Enc40
58	369.225	3.0	372.234	1.5	Old77	Enc41
59	373.722	3.0	376.731	8.5	Old34	Enc42
60	385.223	3.0	388.232	8.0	Old28	Enc43
61	396.222	3.0	399.231	1.5	False	CTL19
62	400.719	3.0	403.728	5.0	Old52	Enc44
63	408.726	3.0	411.735	1.0	False	CTL20
64	412.722	3.0	415.731	3.0	False	CTL21
65	418.723	3.0	421.732	5.0	Old55	Enc45
66	426.73	3.0	429.739	0.5	False	CTL22
67	430.241	3.0	433.25	1.5	Old54	Enc46
68	434.7380000000001	3.0	437.747	0.5	Old42	Enc47
69	438.248	3.0	441.2569999999999	2.0	Old29	Enc48
70	443.246	3.0	446.255	1.5	Old17	Enc49
71	447.7430000000001	3.0	450.752	1.0	Old10	Enc50
72	451.755	3.0	454.764	2.5	Old65	Enc51
73	457.255	3.0	460.264	5.5	Old75	Enc52
74	465.764	3.0	468.773	2.5	False	CTL23
75	471.263	3.0	474.272	1.5	Old25	Enc53
76	475.76	3.0	478.769	0.5	False	CTL24
77	479.271	3.0	482.28	3.0	Old72	Enc54
78	485.272	3.0	488.281	3.5	Old32	Enc55
79	491.775	3.0	494.784	7.5	Old30	Enc56
80	502.273	3.0	505.282	2.5	Old50	Enc57
81	507.772	3.0	510.781	0.5	False	CTL25
82	511.283	3.0	514.2919999999999	1.0	Old14	Enc58
83	515.295	3.0	518.304	4.0	Old47	Enc59
84	522.299	3.0	525.308	11.0	Old67	Enc60
85	536.809	3.0	539.818	0.5	False	CTL26
86	540.32	3.0	543.3290000000001	4.0	False	CTL27
87	547.3240000000001	3.0	550.3330000000001	0.5	False	CTL28
88	550.8340000000001	3.0	553.8430000000001	2.5	Old37	Enc61
89	556.3340000000001	3.0	559.3430000000001	3.0	Old53	Enc62
90	562.335	3.0	565.344	1.0	False	CTL29
91	566.331	3.0	569.34	2.0	Old06	Enc63
92	571.3290000000001	3.0	574.3380000000001	0.5	Old09	Enc64
93	574.84	3.0	577.8480000000001	7.0	False	CTL30
94	584.836	3.0	587.845	0.5	Old56	Enc65
95	588.347	3.0	591.356	0.5	Old41	Enc66
96	591.857	3.0	594.866	0.5	False	CTL31
97	595.368	3.0	598.376	1.5	False	CTL32
98	599.864	3.0	602.873	3.0	Old60	Enc67
99	605.866	3.0	608.875	1.5	Old33	Enc68
100	610.362	3.0	613.371	4.5	False	CTL33
101	617.868	3.0	620.877	0.5	False	CTL34
102	621.379	3.0	624.388	8.0	Old07	Enc69
103	632.378	3.0	635.387	1.0	Old62	Enc70
104	636.373	3.0	639.382	4.5	False	CTL35
105	643.879	3.0	646.888	2.0	False	CTL36
106	648.877	3.0	651.886	1.0	Old68	Enc71
107	652.873	3.0	655.882	2.0	Old05	Enc72
108	657.8710000000001	3.0	660.88	2.0	False	CTL37
109	662.8689999999999	3.0	665.878	10.0	False	CTL38
110	675.875	3.0	678.8839999999999	3.5	Old76	Enc73
111	682.377	3.0	685.3860000000001	9.0	Old23	Enc74
112	694.38	3.0	697.3889999999999	0.5	False	CTL39
113	697.8910000000001	3.0	700.9	7.0	Old49	Enc75
114	707.887	3.0	710.8960000000001	12.0	Old57	Enc76
115	723.383	3.0	726.3919999999999	2.5	Old39	Enc77
116	728.883	3.0	731.8919999999999	18.0	Old21	Enc78
